Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,3098.10009765625,3066.3359375,3066.3359375,3085.197998046875,292500,3085.197998046875
2020-01-03,3093.819091796875,3074.51806640625,3089.02197265625,3083.785888671875,261500,3083.785888671875
2020-01-06,3107.202880859375,3065.30908203125,3070.908935546875,3083.407958984375,312600,3083.407958984375
2020-01-07,3105.450927734375,3084.3291015625,3085.488037109375,3104.802001953125,276600,3104.802001953125
2020-01-08,3094.239013671875,3059.131103515625,3094.239013671875,3066.89306640625,297900,3066.89306640625
2020-01-09,3097.3291015625,3080.131103515625,3082.639892578125,3094.882080078125,243400,3094.882080078125
2020-01-10,3105.22509765625,3081.39599609375,3102.2939453125,3092.291015625,210400,3092.291015625
2020-01-13,3115.570068359375,3075.384033203125,3091.492919921875,3115.570068359375,210600,3115.570068359375
2020-01-14,3127.1689453125,3105.60498046875,3120.6669921875,3106.820068359375,230000,3106.820068359375
2020-01-15,3107.93994140625,3082.0400390625,3103.169921875,3090.0400390625,202300,3090.0400390625
2020-01-16,3096.3720703125,3070.884033203125,3095.73388671875,3074.0810546875,203400,3074.0810546875
2020-01-17,3091.951904296875,3067.2529296875,3081.464111328125,3075.49609375,190300,3075.49609375
2020-01-20,3096.31103515625,3070.47998046875,3082.113037109375,3095.787109375,210500,3095.787109375
2020-01-21,3085.7900390625,3051.22998046875,3085.7900390625,3052.139892578125,234800,3052.139892578125
2020-01-22,3069.2529296875,3006.26806640625,3038.487060546875,3060.7548828125,223900,3060.7548828125
2020-01-23,3045.041015625,2955.345947265625,3037.951904296875,2976.528076171875,272800,2976.528076171875
2020-02-03,2766.576904296875,2716.697998046875,2716.697998046875,2746.60595703125,215900,2746.60595703125
2020-02-04,2786.1640625,2685.26904296875,2685.26904296875,2783.2880859375,364000,2783.2880859375
2020-02-05,2842.742919921875,2778.864013671875,2792.37109375,2818.087890625,309800,2818.087890625
2020-02-06,2876.590087890625,2807.610107421875,2826.889892578125,2866.510009765625,316400,2866.510009765625
2020-02-07,2875.9599609375,2838.77001953125,2858.929931640625,2875.9599609375,309500,2875.9599609375
